client_id,periv,xkale,xjabh,anzbp,anzsp,xweek,fyofb,fyofe,xweekquart,operation_flag,is_deleted,record_timestamp
100,24,,,24,,,,,,I,False,2022-04-21 15:05:23.194801+00:00
100,C1,,,1,,,,,,I,False,2022-04-21 15:05:23.194801+00:00
100,DL,,,366,,,,,,I,False,2022-04-21 15:05:23.194801+00:00
100,K0,X,,12,,,,,,I,False,2022-04-21 15:05:23.194801+00:00
100,K1,X,,12,1.0,,,,,I,False,2022-04-21 15:05:23.194801+00:00
100,K2,X,,12,2.0,,,,,I,False,2022-04-21 15:05:23.194801+00:00
100,K3,X,,12,3.0,,,,,I,False,2022-04-21 15:05:23.194801+00:00
100,K4,X,,12,4.0,,,,,I,False,2022-04-21 15:05:23.194801+00:00
100,R1,,X,12,4.0,,,,,I,False,2022-04-21 15:05:23.194801+00:00
100,V3,,,12,4.0,,,,,I,False,2022-04-21 15:05:23.194801+00:00
100,V6,,,12,4.0,,,,,I,False,2022-04-21 15:05:23.194801+00:00
100,V9,,,12,4.0,,,,,I,False,2022-04-21 15:05:23.194801+00:00
100,WK,,X,53,,,,,,I,False,2022-04-21 15:05:23.194801+00:00
0,24,,,24,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
1,24,,,24,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
50,24,,,24,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
100,24,,,24,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
200,24,,,24,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
250,24,,,24,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
0,C1,,,1,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
1,C1,,,1,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
50,C1,,,1,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
100,C1,,,1,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
200,C1,,,1,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
250,C1,,,1,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
0,DL,,,366,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
1,DL,,,366,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
50,DL,,,366,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
100,DL,,,366,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
200,DL,,,366,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
250,DL,,,366,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
0,K0,X,,12,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
1,K0,X,,12,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
50,K0,X,,12,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
100,K0,X,,12,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
200,K0,X,,12,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
250,K0,X,,12,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
0,K1,X,,12,1.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
1,K1,X,,12,1.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
50,K1,X,,12,1.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
100,K1,X,,12,1.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
200,K1,X,,12,1.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
250,K1,X,,12,1.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
0,K2,X,,12,2.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
1,K2,X,,12,2.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
50,K2,X,,12,2.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
100,K2,X,,12,2.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
200,K2,X,,12,2.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
250,K2,X,,12,2.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
0,K3,X,,12,3.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
1,K3,X,,12,3.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
50,K3,X,,12,3.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
100,K3,X,,12,3.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
200,K3,X,,12,3.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
250,K3,X,,12,3.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
0,K4,X,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
1,K4,X,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
50,K4,X,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
100,K4,X,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
200,K4,X,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
250,K4,X,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
0,R1,,X,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
1,R1,,X,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
50,R1,,X,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
100,R1,,X,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
200,R1,,X,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
250,R1,,X,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
0,V3,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
1,V3,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
50,V3,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
100,V3,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
200,V3,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
250,V3,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
0,V6,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
1,V6,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
50,V6,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
100,V6,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
200,V6,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
250,V6,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
0,V9,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
1,V9,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
50,V9,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
100,V9,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
200,V9,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
250,V9,,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
0,WK,,X,53,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
1,WK,,X,53,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
50,WK,,X,53,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
100,WK,,X,53,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
200,WK,,X,53,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
250,WK,,X,53,,,,,,L,False,2022-01-31 20:43:46.040460+00:00
200,Z4,X,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
250,Z4,X,,12,4.0,,,,,L,False,2022-01-31 20:43:46.040460+00:00
800,01,X,,12,1.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,01,X,,12,1.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,24,,,24,0.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,24,,,24,0.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,C1,,,1,0.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,C1,,,1,0.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,EM,,,4,0.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,EM,,,4,0.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,F1,,,366,0.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,F1,,,366,0.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,K0,X,,12,0.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,K0,X,,12,0.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,K1,X,,12,1.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,K1,X,,12,1.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,K2,X,,12,2.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,K2,X,,12,2.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,K3,X,,12,3.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,K3,X,,12,3.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,K4,X,,12,4.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,K4,X,,12,4.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,PS,,,12,4.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,PS,,,12,4.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,Q1,,,4,0.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,Q1,,,4,0.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,V3,,,12,4.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,V3,,,12,4.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,V6,,,12,4.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,V6,,,12,4.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,V9,,,12,4.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,V9,,,12,4.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,AA,,X,12,0.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,AA,,X,12,0.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,AM,,X,12,0.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,AM,,X,12,0.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,R1,,X,12,4.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,R1,,X,12,4.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,UL,,X,100,0.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
800,UL,,X,100,0.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,WK,,X,53,0.0,,0.0,0.0,,L,False,2021-12-23 14:58:28.488977+00:00
800,WK,,X,53,0.0,,0.0,0.0,,L,False,2021-12-23 14:56:51.869515+00:00
